Country;China;Daenemark;Deutschland;Kasachstan;Norwegen;Singapur;Thailand;V. Arabische Emirate;England;USA
2002;2,87;9,17;10,05;10,2;8,25;11,71;3,34;26,02;8,96;19,59
2003;3,5;10,35;10,1;10,28;9,35;7,62;3,55;31,41;9,07;19,5
2004;4,07;9,37;10,01;11,44;9,3;6,84;3,82;30,95;9,02;19,69
2005;4,43;8,69;9,77;11,66;9,18;7,12;3,84;28,54;9;19,63
2006;4,88;10,11;9,8;12,57;9,48;6,98;3,88;26,56;8,95;19,15
2007;5,14;9,19;9,5;14,23;9,55;3,9;3,87;25,79;8,68;19,28
2008;5,3;8,54;9,5;14,72;10,53;4,11;3,84;25,61;8,53;18,55
2009;5,76;8,05;8,89;13,51;9,74;5,01;4,03;23,43;7,71;17,26
2010;6,18;8,34;9,06;15,52;11,71;2,66;4,27;22,31;7,95;17,5
2011;6,75;7,43;8,75;17,25;11,69;2,71;4,47;21,48;7,32;16,98